,redshift,dA_obs,dL_obs, dA_fid,dL_fid,dA_obs_erro,dL_fid_erro
0,0.078,299.8889601159966,348.49616232743784,313.7998478740449,364.66178241686157,3.551137054280389,3.551137054280389
1,0.088,334.8759907237527,396.407444763298,349.9268309059285,414.2237865239075,4.419204589215184,4.419204589215184
2,0.103,385.9936401745468,469.6033365791152,402.51996570083054,489.7094129513218,5.850062771643707,5.850062771643707
3,0.103,385.9936401745468,469.6033365791152,402.51996570083054,489.7094129513218,5.850062771643707,5.850062771643707
4,0.152,542.1580457772002,719.5001111831053,561.7483372446054,745.4984653506647,11.340494839277026,11.340494839277026
5,0.208,701.9094713674186,1024.2712228255048,722.336292638732,1054.0793477411664,18.40890050286072,18.40890050286072
6,0.214,717.9235903958765,1058.0729158310812,738.2964011199122,1088.098282784922,19.17713321365636,19.17713321365636
7,0.215,720.5726761250777,1063.7273988127429,740.934170657417,1093.7855460787455,19.305005927961645,19.305005927961645
8,0.235,772.3778135443641,1178.0499506632025,792.4150256508335,1208.6112074982923,21.84421275576221,21.84421275576221
9,0.235,772.3778135443641,1178.0499506632025,792.4150256508335,1208.6112074982923,21.84421275576221,21.84421275576221
10,0.236,774.9100197117679,1183.826937473589,794.9277593232517,1214.4079582070942,21.969943643661797,21.969943643661797
11,0.252,814.6899533155306,1277.0297605819076,834.2877156600796,1307.7493314480373,23.959444591969717,23.959444591969717
12,0.253,817.1307292401431,1282.902599083588,836.6970720907731,1313.6219334561627,24.08223084879603,24.08223084879603
13,0.313,954.2190542397348,1645.0440687186212,971.2684020259404,1674.4366157722584,30.99577736276268,30.99577736276268
14,0.314,956.3534262795085,1651.2360004004945,973.3456326856831,1680.5746760125699,31.102352045206885,31.102352045206885
15,0.318,964.843429834809,1676.0526782083627,981.6345057658276,1705.2208591939577,31.52557110846988,31.52557110846988
16,0.324,977.4368816772842,1713.423395095119,993.9079221963387,1742.2967338200492,32.15110071208386,32.15110071208386
17,0.345,1020.1999088036927,1845.5671400236,1035.498676184348,1873.24299268439,34.251597493966074,34.251597493966074
18,0.352,1034.0088166147111,1890.0688519252967,1048.8990110321058,1917.28669786163,34.92092425568308,34.92092425568308
19,0.355,1039.8599506273206,1909.2088658505263,1054.5743829478654,1936.2249314518547,35.203071131112324,35.203071131112324
20,0.363,1055.2685578386204,1960.445213427296,1069.5127661655943,1986.90766208669,35.941722386778046,35.941722386778046
21,0.363,1055.2685578386204,1960.445213427296,1069.5127661655943,1986.90766208669,35.941722386778046,35.941722386778046
22,0.3779999999999999,1083.4088196741516,2057.267673138132,1096.746880321898,2082.5951030931674,37.27339330853715,37.27339330853715
23,0.391,1107.0211151379287,2141.954122279191,1119.5662743278644,2166.227512437773,38.37236661854547,38.37236661854547
24,0.3989999999999999,1121.2010356837256,2194.4157882412237,1133.250901448492,2217.99979756589,39.02382513262444,39.02382513262444
25,0.4039999999999999,1129.9298269139556,2227.33575369002,1141.6716885870396,2250.4814992897896,39.42157434021168,39.42157434021168
26,0.423,1162.1788814308627,2353.329720196916,1172.7494979273345,2374.7344680885,40.86883591768401,40.86883591768401
27,0.442,1193.0069376229449,2480.695677843397,1202.4152834785489,2500.2590535150894,42.21864693836199,42.21864693836199
28,0.447,1200.8893353750905,2514.432898412383,1210.0004578547337,2533.5098486603624,42.55838161423685,42.55838161423685
29,0.451,1207.1273200985017,2541.487066862706,1215.9948014666202,2560.1566710026236,42.82566828796564,42.82566828796564
30,0.46,1220.944359165026,2602.5649959961693,1229.2785054139028,2620.330062140275,43.41273306418418,43.41273306418418
31,0.461,1222.4610725991,2609.368831145304,1230.7311033884314,2627.0213855357783,43.47675744917365,43.47675744917365
32,0.487,1260.6237950780685,2787.4522563389783,1267.3997457453004,2802.4350283998906,45.06032271130073,45.06032271130073
33,0.539,1329.944505448473,3150.001489989323,1333.9917988063178,3159.587589300539,47.80149350875399,47.80149350875399
34,0.5760000000000001,1373.9748144662155,3412.6456687756395,1376.36764693674,3418.5889286379484,49.45144448438521,49.45144448438521
35,0.596,1396.066361802014,3556.082573843879,1397.6654073573143,3560.155688267069,50.2520565142845,50.2520565142845
36,0.7020000000000001,1495.1766842880338,4331.233799752314,1493.9181489431128,4327.588069531005,53.59326657273823,53.59326657273823
37,0.723,1511.5700004047364,4487.4416957315525,1510.0086354326888,4482.806426259451,54.09801113978836,54.09801113978836
38,1.028,1661.3098778813992,6832.6086847925735,1662.4634248033105,6837.352974116259,57.229808699081104,57.229808699081104
39,1.063,1670.6002230261277,7110.022760592283,1672.5467065292455,7118.306934040564,57.23559120484526,57.23559120484526
