redshift,A,gmf_bar,gmf_obs,gmf_erro
0.078,0.963457499273404,0.15494534584595274,0.131,0.003
0.088,0.9640399594757756,0.15471858417546028,0.128,0.008
0.103,0.9649676544138635,0.15439430309747593,0.119,0.004
0.103,0.9649676544138635,0.15439430309747593,0.125,0.009
0.152,0.9679886073451411,0.15339163515736556,0.131,0.008
0.208,0.9716420147684287,0.15240576110126555,0.111,0.015
0.214,0.972038221869573,0.15230695366952324,0.109,0.006
0.215,0.9721312845543333,0.15229486829994845,0.108,0.0069999999999999
0.235,0.9734475345183454,0.15198632558362934,0.14,0.016
0.235,0.9734475345183454,0.15198632558362934,0.127,0.012
0.236,0.9735304446243921,0.15197484739618194,0.13,0.01
0.252,0.9746043172097233,0.15174736612443074,0.12,0.0069999999999999
0.253,0.974682694351833,0.1517350503205827,0.142,0.013
0.313,0.9787714230618407,0.1510169319705643,0.1369999999999999,0.011
0.314,0.9788291270847987,0.1510036629995046,0.125,0.0279999999999999
0.318,0.9790965145617996,0.15096371037615272,0.131,0.024
0.324,0.9795182335390165,0.15090591683404242,0.133,0.016
0.345,0.9809406124359177,0.1507116121052686,0.104,0.011
0.352,0.9813970090540992,0.15064907858153667,0.1119999999999999,0.011
0.355,0.9816238824824779,0.15062819184391307,0.145,0.017
0.363,0.982141546425445,0.1505622662867594,0.152,0.021
0.363,0.982141546425445,0.1505622662867594,0.108,0.006
0.378,0.9831303988267259,0.1504491661150628,0.138,0.022
0.391,0.9839812694266901,0.1503610272611463,0.132,0.016
0.399,0.9845505600995027,0.1503174834932791,0.094,0.02
0.404,0.9848745898754383,0.15028760687894377,0.108,0.0139999999999999
0.423,0.9861154713596777,0.15018749911241908,0.166,0.023
0.442,0.9873283942229747,0.15010200841962731,0.096,0.012
0.447,0.9876245550862206,0.15008016468638372,0.095,0.02
0.451,0.9879070745113924,0.15006922949140694,0.115,0.013
0.46,0.9884569310421235,0.1500365164578485,0.115,0.021
0.461,0.9885127349235708,0.15003136960086172,0.121,0.02
0.487,0.9901354561243992,0.14996654425428707,0.144,0.017
0.539,0.9932233035270587,0.14991115811744807,0.143,0.012
0.5760000000000001,0.9953078800869533,0.14993346102958913,0.121,0.019
0.596,0.9964122443263868,0.14996585380341015,0.157,0.025
0.7020000000000001,1.0015502432913836,0.1502905833799593,0.081,0.023
0.723,1.002475182780596,0.15038619769211842,0.156,0.017
1.028,1.0103096076244484,0.15195474270456127,0.1169999999999999,0.015
1.063,1.0105381859649323,0.15209639020710186,0.1169999999999999,0.019
